ISI_1	ISI_10	ISI_11	ISI_12	ISI_13	ISI_14	ISI_2	ISI_3	ISI_4	ISI_5	ISI_6	ISI_7	ISI_8	ISI_9	ISI_target	cond_trig	correct_response	question	secondary_trig	target_trig	target_word	word_1	word_10	word_11	word_12	word_13	word_14	word_2	word_3	word_4	word_5	word_6	word_7	word_8	word_9	ITI	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__
396	100	100	100	100	100	285	211	100	100	100	100	100	100	322	101	0	0	0	11	music.	Maggie's	0	0	0	0	0	voice	was	0	0	0	0	0	0	992	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__
322	100	100	100	100	100	248	174	137	100	100	100	100	100	507	101	0	0	0	12	wonderland.	Aria's	0	0	0	0	0	body	is	a	0	0	0	0	0	872	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__
322	100	100	100	100	100	322	211	100	100	100	100	100	100	322	101	0	0	0	13	roses.	Jane's	0	0	0	0	0	kisses	are	0	0	0	0	0	0	1067	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__
359	100	100	100	100	100	359	211	137	100	100	100	100	100	359	101	0	0	0	14	pigsty.	Frank's	0	0	0	0	0	bedroom	was	a	0	0	0	0	0	1113	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__
285	100	100	100	100	100	174	137	100	100	100	100	100	100	433	101	0	0	0	15	rockstar.	Julia	0	0	0	0	0	is	a	0	0	0	0	0	0	1134	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__
248	100	100	100	100	100	174	137	100	100	100	100	322	100	285	101	0	0	1	16	dance	Life	0	0	0	0	0	is	a	0	0	0	0	floor.	0	991	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__
174	100	100	100	100	100	285	174	137	100	100	100	359	100	322	101	0	0	1	17	lonely	My	0	0	0	0	0	heart	is	a	0	0	0	hunter.	0	936	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__
211	100	100	100	100	100	211	137	100	100	100	100	174	285	396	101	/	Is Ana angry? 	0	18	wildfire	Ana	0	0	0	0	0	was	a	0	0	0	0	of	rage.	1071	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__
248	100	100	100	100	100	174	137	100	100	100	100	100	100	322	101	0	0	0	19	wheel.	Time	0	0	0	0	0	is	a	0	0	0	0	0	0	804	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__
285	100	100	100	100	100	174	137	100	100	100	100	359	100	396	101	0	0	1	20	delicate	Lucia	0	0	0	0	0	is	a	0	0	0	0	orchid.	0	1108	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__	__empty__
